,Provincias,Ramas de actividad,periodo,Total
202,7,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,6310676.0
203,7,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,11653261.0
204,7,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,8116266.0
205,7,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,7758796.0
206,7,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,8527791.0
207,7,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,6070699.0
208,7,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,5860780.0
209,7,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,6175425.0
210,7,Valor añadido bruto total,2021,27170811.0
211,7,Valor añadido bruto total,2020,23905508.0
212,7,Valor añadido bruto total,2019,30777649.0
213,7,Impuestos netos sobre los productos,2021,2860857.0
214,7,Impuestos netos sobre los productos,2020,2292582.0
215,7,Impuestos netos sobre los productos,2019,3157653.0
216,8,"A. Agricultura, ganadería, silvicultura y pesca",2021,723577.0
217,8,"A. Agricultura, ganadería, silvicultura y pesca",2020,823535.0
218,8,"A. Agricultura, ganadería, silvicultura y pesca",2019,895896.0
219,8,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,32134195.0
220,8,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,29055554.0
221,8,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,31248511.0
222,8,C. - De las cuales: Industria manufacturera,2021,27764672.0
223,8,C. - De las cuales: Industria manufacturera,2020,25263528.0
224,8,C. - De las cuales: Industria manufacturera,2019,27412031.0
225,8,F. Construcción,2021,7393843.0
226,8,F. Construcción,2020,7182337.0
227,8,F. Construcción,2019,8229130.0
228,8,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,42489644.0
229,8,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,36678272.0
230,8,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,46043711.0
231,8,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,42975113.0
232,8,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,41181032.0
233,8,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,43372364.0
234,8,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,31456531.0
235,8,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,31242312.0
236,8,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,32731702.0
237,8,Valor añadido bruto total,2021,157172903.0
238,8,Valor añadido bruto total,2020,146163042.0
239,8,Valor añadido bruto total,2019,162521314.0
240,8,Impuestos netos sobre los productos,2021,16548982.0
241,8,Impuestos netos sobre los productos,2020,14017302.0
242,8,Impuestos netos sobre los productos,2019,16673980.0
243,48,"A. Agricultura, ganadería, silvicultura y pesca",2021,70267.0
244,48,"A. Agricultura, ganadería, silvicultura y pesca",2020,73997.0
245,48,"A. Agricultura, ganadería, silvicultura y pesca",2019,80500.0
246,48,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,6216317.0
247,48,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,5610559.0
248,48,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,6422101.0
249,48,C. - De las cuales: Industria manufacturera,2021,4877367.0
250,48,C. - De las cuales: Industria manufacturera,2020,4163901.0
251,48,C. - De las cuales: Industria manufacturera,2019,4878649.0
252,48,F. Construcción,2021,2531960.0
253,48,F. Construcción,2020,2501960.0
254,48,F. Construcción,2019,2775398.0
255,48,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,7637754.0
256,48,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,6701292.0
257,48,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,8332364.0
